projectDescriptionID,trapVisitID,visitTime,siteName,subSiteName,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,waterTemp,turbidity
2,89,1998-02-16T12:41:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6901,,5,Yes,8.333333015,
2,90,1998-02-17T10:50:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,,,0.75,Yes,8.888889313,
2,91,1998-02-17T14:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3677,,5,Yes,9.444444656,
2,92,1998-02-18T09:51:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1327,,1.200000048,Yes,8.888889313,
2,93,1998-02-18T12:41:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6075,,4.599999905,Yes,9.444444656,
2,94,1998-02-19T10:55:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1520,,1,Yes,8.888889313,
2,95,1998-02-19T15:06:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6803,,4.800000191,Yes,9.444444656,
2,96,1998-02-20T10:35:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1665,,1.299999952,Yes,8.333333015,
2,97,1998-02-20T14:30:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,5.800000191,Yes,8.888889313,
2,98,1998-02-21T10:50:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1530,,1.299999952,Yes,8.888889313,
2,99,1998-02-21T14:06:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5042,,5,Yes,9.444444656,
2,100,1998-02-22T11:46:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2010,,1,Yes,9.444444656,
2,101,1998-02-22T15:25:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2603,,5.599999905,Yes,10,
2,102,1998-02-23T10:23:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,,,1.399999976,Yes,9.166666985,
2,103,1998-02-23T13:02:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6952,,5.5,Yes,8.611110687,
2,104,1998-02-24T11:03:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1660,,1.100000024,Yes,8.333333015,
2,105,1998-02-24T14:30:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5266,,6.5,Yes,8.888889313,
2,106,1998-02-25T09:30:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1249,,0.899999976,Yes,8.333333015,
2,107,1998-02-25T12:55:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6759,,4.800000191,Yes,8.888889313,
2,108,1998-02-26T10:13:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1171,,0.600000024,Yes,8.611110687,
2,109,1998-02-26T14:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4818,,5.300000191,Yes,10,
2,110,1998-02-27T10:31:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1028,,0.800000012,Yes,8.888889313,
2,111,1998-02-27T13:56:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5880,,4.800000191,Yes,10,
2,112,1998-02-28T09:33:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,809,,0.800000012,Yes,9.166666985,
2,113,1998-02-28T12:40:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6393,,5,Yes,9.444444656,
2,114,1998-03-01T09:30:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,726,,0.600000024,Yes,9.444444656,
2,115,1998-03-01T12:20:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4374,,4.800000191,Yes,9.444444656,
2,116,1998-03-02T10:53:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,569,,0.300000012,Yes,9.166666985,
2,117,1998-03-02T12:46:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,7203,,4.5,Yes,9.444444656,
2,118,1998-03-03T12:23:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,478,,0,Yes,10,
2,119,1998-03-03T15:54:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,8242,,6.5,Yes,10.55555534,
2,120,1998-03-04T10:08:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1131,,3,Yes,9.166666985,
2,121,1998-03-04T12:56:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6251,,4.699999809,Yes,9.444444656,
2,122,1998-03-05T09:31:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1482,,1.299999952,Yes,8.611110687,
2,123,1998-03-05T12:23:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4463,,3.299999952,Yes,8.888889313,
2,124,1998-03-06T09:50:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1592,,1.399999976,Yes,7.777777672,
2,125,1998-03-06T12:25:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4695,,4.300000191,Yes,9.166666985,
2,126,1998-03-07T09:30:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1583,,1.5,Yes,8.888889313,
2,127,1998-03-07T12:35:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,10,,3,Yes,8.888889313,
2,128,1998-03-08T10:38:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1780,,1.5,Yes,8.888889313,
2,129,1998-03-08T14:24:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4051,,3.200000048,Yes,10,
2,130,1998-03-09T09:45:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1652,,1.399999976,Yes,8.888889313,
2,131,1998-03-09T13:59:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4020,,2.799999952,Yes,10.55555534,
2,132,1998-03-10T09:14:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1616,,1.299999952,Yes,9.444444656,
2,133,1998-03-10T11:30:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3537,,2.799999952,Yes,10.55555534,
2,134,1998-03-11T09:41:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1617,,0.699999988,Yes,9.722222328,
2,135,1998-03-11T11:35:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4076,,2.900000095,Yes,10.55555534,
2,136,1998-03-12T09:43:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1679,,1.299999952,Yes,9.444444656,
2,137,1998-03-12T11:36:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3964,,2.799999952,Yes,10.55555534,
2,138,1998-03-13T09:41:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1837,,1.299999952,Yes,9.444444656,
2,139,1998-03-13T12:42:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4231,,3,Yes,10.55555534,
2,140,1998-03-14T09:24:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1584,,0.800000012,Yes,10,
2,141,1998-03-14T11:23:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,8059,,2.900000095,Yes,10.83333302,
2,142,1998-03-15T09:28:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1620,,0.800000012,Yes,10.55555534,
2,143,1998-03-15T13:00:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4122,,2.700000048,Yes,11.66666698,
2,144,1998-03-16T13:40:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,561,,0.800000012,Yes,11.66666698,
2,145,1998-03-16T15:54:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4191,,2.799999952,Yes,12.22222233,
2,146,1998-03-17T11:04:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,633,,0.899999976,Yes,10.83333302,
2,147,1998-03-17T13:45:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2841,,0.800000012,Yes,12.5,
2,148,1998-03-18T14:06:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,757,,1.799999952,Yes,11.66666698,
2,149,1998-03-18T16:52:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3730,,2.299999952,Yes,13.05555534,
2,150,1998-03-19T11:10:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1091,,0.699999988,Yes,10.55555534,
2,151,1998-03-19T13:42:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4426,,4.400000095,Yes,11.66666698,
2,152,1998-03-20T11:10:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,,,0.899999976,Yes,11.11111069,
2,153,1998-03-20T12:50:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5070,,3.5,Yes,11.38888931,
2,154,1998-03-21T11:15:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,793,,0.200000003,Yes,11.11111069,
2,155,1998-03-21T13:13:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5733,,4.5,Yes,10.55555534,
2,156,1998-03-22T10:36:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,582,,0.300000012,Yes,10.55555534,
2,157,1998-03-22T13:18:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6815,,5,Yes,10.27777767,
2,158,1998-03-23T09:10:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,889,,0.800000012,Yes,10.27777767,
2,159,1998-03-23T10:44:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6016,,4.800000191,Yes,10.27777767,
2,160,1998-03-24T13:43:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,7457,,4.800000191,Yes,11.11111069,
2,161,1998-03-24T15:36:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1313,,1,Yes,11.11111069,
2,162,1998-03-25T09:52:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,811,,0.699999988,Yes,11.11111069,
2,163,1998-03-25T13:18:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,7081,,6.400000095,Yes,11.66666698,
2,164,1998-04-01T11:01:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,165,1998-04-01T12:11:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,166,1998-04-02T11:00:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6381,,4.699999809,Yes,10.55555534,
2,167,1998-04-02T12:27:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1709,,1.100000024,Yes,10.27777767,
2,168,1998-04-03T10:51:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1423,,1,Yes,9.444444656,
2,169,1998-04-03T12:30:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6915,,4.800000191,Yes,9.722222328,
2,170,1998-04-04T10:05:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1785,,1.700000048,Yes,9.166666985,
2,171,1998-04-04T12:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,7395,,4.599999905,Yes,9.444444656,
2,172,1998-04-05T11:05:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2453,,2,Yes,10,
2,173,1998-04-05T13:28:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6020,,3.900000095,Yes,10.27777767,
2,174,1998-04-06T09:44:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2270,,1.700000048,Yes,9.444444656,
2,175,1998-04-06T10:52:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,3.799999952,Yes,10.27777767,
2,176,1998-04-07T09:11:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2337,,1.700000048,Yes,9.444444656,
2,177,1998-04-07T10:35:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5285,,3.799999952,Yes,10.27777767,
2,178,1998-04-08T09:55:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2444,,1.600000024,Yes,9.722222328,
2,179,1998-04-08T11:45:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,3.400000095,Yes,10,
2,180,1998-04-09T09:35:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2257,,1.700000048,Yes,10.27777767,
2,181,1998-04-09T11:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5075,,3.599999905,Yes,10.55555534,
2,182,1998-04-10T09:05:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2220,,1.700000048,Yes,10.55555534,
2,183,1998-04-10T10:25:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4856,,3.400000095,Yes,10.83333302,
2,184,1998-04-11T09:14:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2250,,1.600000024,Yes,10,
2,185,1998-04-11T10:24:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4943,,3.5,Yes,10.27777767,
2,186,1998-04-12T08:58:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2158,,1.700000048,Yes,8.888889313,
2,187,1998-04-12T10:35:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,3.5,Yes,9.722222328,
2,188,1998-04-13T10:24:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2209,,1.700000048,Yes,9.444444656,
2,189,1998-04-13T12:35:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5264,,3.400000095,Yes,10,
2,190,1998-04-14T09:22:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1970,,1.700000048,Yes,9.444444656,
2,191,1998-04-14T10:51:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4287,,3.299999952,Yes,9.722222328,
2,192,1998-04-15T09:55:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2100,,1.600000024,Yes,9.444444656,
2,193,1998-04-15T11:45:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4848,,3.700000048,Yes,10,
