trap_visit_ID,visit_time,site_name,subsite_name,visit_type,fish_processed,trap_functioning,include_catch,discharge,water_vel,water_temp,turbidity,dissolved_O,conductivity
8804,2005-01-02T10:30:55Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,22750,NA,8.899999619,73.09999847,NA,NA
8802,2005-01-03T09:45:21Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,21062,NA,8.300000191,85.40000153,NA,NA
8800,2005-01-04T10:30:56Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,22171,NA,8.899999619,70.90000153,NA,NA
8798,2005-01-05T10:15:49Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,19975,NA,8.899999619,41,NA,NA
8796,2005-01-06T09:45:58Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,16138,NA,9.399999619,53.20000076,NA,NA
8794,2005-01-07T10:30:53Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,13917,NA,9.399999619,35.90000153,NA,NA
8792,2005-01-08T10:00:16Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,15458,NA,8.899999619,44.70000076,NA,NA
8790,2005-01-09T09:15:16Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,21329,NA,8.899999619,31.10000038,NA,NA
8774,2005-01-10T11:00:47Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,19033,NA,7.800000191,88.09999847,NA,NA
8772,2005-01-11T10:15:45Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,16808,NA,7.800000191,49.59999847,NA,NA
8764,2005-01-12T10:00:40Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,21942,NA,9.399999619,29.5,NA,NA
8754,2005-01-14T09:55:53Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,18338,NA,7.800000191,123.5500031,NA,NA
8752,2005-01-15T09:45:55Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,15217,NA,8.300000191,53.79999924,NA,NA
8749,2005-01-16T10:00:31Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,13412,NA,8.300000191,46.90000153,NA,NA
8731,2005-01-17T11:15:05Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,12421,NA,8.300000191,36,NA,NA
8729,2005-01-18T09:45:05Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,12088,NA,8.899999619,26,NA,NA
8727,2005-01-19T10:00:37Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,12242,NA,8.899999619,24.04999924,NA,NA
8725,2005-01-20T10:00:37Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,12117,NA,8.899999619,27.79999924,NA,NA
8723,2005-01-21T10:00:39Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,12083,NA,9.399999619,19.29999924,NA,NA
8721,2005-01-22T09:45:46Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,12029,NA,9.399999619,19.29999924,NA,NA
8719,2005-01-23T10:45:51Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,11812,NA,9.399999619,22,NA,NA
8717,2005-01-24T10:15:12Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,11446,NA,9.399999619,18,NA,NA
8715,2005-01-25T10:15:03Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,11125,NA,9.399999619,18.60000038,NA,NA
8713,2005-01-26T10:30:13Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,10929,NA,9.399999619,16.70000076,NA,NA
8711,2005-01-27T10:15:01Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,13117,NA,11.10000038,15.19999981,NA,NA
8709,2005-01-28T11:15:31Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,24512,NA,11.60000038,19.29999924,NA,NA
8707,2005-01-29T11:45:30Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,25379,NA,11.10000038,88,NA,NA
8810,2005-01-30T10:45:53Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,26417,NA,8.899999619,214.5,NA,NA
8705,2005-01-30T13:30:59Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,24088,NA,11.10000038,308,NA,NA
8703,2005-01-31T12:00:01Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,20004,2.410000086,10.5,77.09999847,NA,NA
8485,2005-02-01T11:00:37Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,17246,NA,11,25,NA,NA
8486,2005-02-02T10:15:57Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Not recorded,Yes,15671,2.970000029,9.399999619,21.39999962,NA,NA
8836,2005-03-11T09:30:03Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,13583,NA,11.10000038,64.19999695,NA,NA
8762,2005-03-13T12:00:20Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,22567,NA,7.800000191,125.8000031,NA,NA
4216,2006-10-02T09:30:00Z,Knights Landing RST,8.3,Start trap & begin trapping,N/A; not a sampling visit,Trap functioning normally,Yes,NA,NA,NA,NA,NA,NA
4205,2006-10-06T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7710,2.279999971,61,6.260000229,NA,NA
4207,2006-10-10T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7360,2.180000067,61,6.900000095,NA,NA
4209,2006-10-13T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6580,2.089999914,61,7.619999886,NA,NA
4211,2006-10-17T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6190,2,60,8.460000038,NA,NA
4213,2006-10-20T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5860,2.200000048,59,7.650000095,NA,NA
4215,2006-10-24T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5600,2.180000067,60,6.909999847,NA,NA
4218,2006-10-27T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5290,2.200000048,57,5.489999771,NA,NA
4220,2006-10-31T09:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5080,2.019999981,56,4.96999979,NA,NA
4222,2006-11-03T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,NA,2,58,6.949999809,NA,NA
4224,2006-11-07T11:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5180,1.960000038,59,8.270000458,NA,NA
4226,2006-11-10T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5370,2.019999981,59,8.75,NA,NA
4228,2006-11-14T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5840,1.950000048,54,8.970000267,NA,NA
4230,2006-11-17T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6590,2.099999905,55,10.44999981,NA,NA
4232,2006-11-21T11:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6090,2.059999943,51,5.820000172,NA,NA
4234,2006-11-27T10:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6430,2.049999952,53,6.400000095,NA,NA
4236,2006-11-28T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6590,1.950000048,50,6.800000191,NA,NA
4238,2006-11-29T10:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7400,2.019999981,48,6.139999866,NA,NA
4240,2006-11-30T10:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6870,2.059999943,48,5.940000057,NA,NA
4242,2006-12-01T10:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6560,1.940000057,47,5.650000095,NA,NA
4244,2006-12-02T09:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6390,2.00999999,46,6.630000114,NA,NA
4246,2006-12-03T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6290,1.840000033,48,6.420000076,NA,NA
4248,2006-12-04T08:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6250,1.889999986,46,4.440000057,NA,NA
4250,2006-12-05T09:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6290,1.909999967,48,4.349999905,NA,NA
4252,2006-12-06T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6360,1.870000005,48,4.159999847,NA,NA
4254,2006-12-07T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6360,1.870000005,48,3.950000048,NA,NA
4256,2006-12-08T11:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6430,1.929999948,49,4.159999847,NA,NA
4258,2006-12-09T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6480,2.00999999,50,6.079999924,NA,NA
4260,2006-12-10T09:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6640,2.00999999,50,6.940000057,NA,NA
4262,2006-12-11T08:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7270,1.960000038,51,7.650000095,NA,NA
4264,2006-12-12T10:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8520,2.019999981,51,9.279999733,NA,NA
4558,2006-12-13T10:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,9000,2.170000076,52,9.760000229,NA,NA
4268,2006-12-14T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,13300,2.190000057,53,10.44999981,NA,NA
4270,2006-12-15T09:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,18400,1.970000029,52,24.70000076,NA,NA
4272,2006-12-16T11:00:00Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,15500,2.230000019,53,45,NA,NA
4274,2006-12-17T10:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,14400,2.410000086,51,57.70000076,NA,NA
4276,2006-12-18T09:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,11600,2.130000114,49,18.89999962,NA,NA
4279,2006-12-19T10:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,10200,2.220000029,47,11.80000019,NA,NA
4282,2006-12-20T10:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,9400,2.390000105,46,8.800000191,NA,NA
4284,2006-12-21T08:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8960,2.160000086,45,11,NA,NA
4286,2006-12-22T09:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8890,2.220000029,46,8.909999847,NA,NA
4288,2006-12-23T09:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8970,2.390000105,46,12.5,NA,NA
4290,2006-12-24T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,9150,2.130000114,47,13.30000019,NA,NA
4292,2006-12-26T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8680,2.140000105,48,12.30000019,NA,NA
4294,2006-12-27T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8840,2.269999981,48,12.39999962,NA,NA
4296,2006-12-28T09:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,19700,2.380000114,48,16.10000038,NA,NA
4298,2006-12-29T11:15:00Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,18700,1.340000033,47,119.5,NA,NA
4300,2006-12-30T14:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,13400,2.390000105,46,91.59999847,NA,NA
4302,2006-12-31T12:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,11500,2.140000105,46,35.40000153,NA,NA
4304,2007-01-01T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,10500,2.130000114,45,25.39999962,NA,NA
4306,2007-01-02T09:30:00Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,9860,1.659999967,46,16.89999962,NA,NA
4308,2007-01-03T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,9470,1.950000048,46,17.5,NA,NA
4310,2007-01-04T11:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,9070,2.089999914,48,13.30000019,NA,NA
4312,2007-01-05T09:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,9120,2.099999905,48,12.19999981,NA,NA
4314,2007-01-06T09:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,10500,1.970000029,48,15.5,NA,NA
4316,2007-01-07T10:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,9920,1.99000001,45,17.89999962,NA,NA
4318,2007-01-08T08:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,9440,1.970000029,46,19.89999962,NA,NA
4320,2007-01-09T09:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,9050,2.089999914,46,12,NA,NA
4322,2007-01-10T09:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8650,2.109999895,47,8.130000114,NA,NA
4324,2007-01-11T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8480,1.879999995,49,7.829999924,NA,NA
4326,2007-01-12T09:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8220,2.049999952,46,9.670000076,NA,NA
4328,2007-01-13T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8010,2.200000048,44,8.710000038,NA,NA
4330,2007-01-14T10:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7870,2.210000038,43,8.229999542,NA,NA
4332,2007-01-15T12:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7750,2.25,43,7.21999979,NA,NA
4334,2007-01-16T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7520,1.980000019,43,7.300000191,NA,NA
4336,2007-01-17T09:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7520,2.180000067,43,7.690000057,NA,NA
4338,2007-01-18T08:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7310,2.089999914,43,6.800000191,NA,NA
4340,2007-01-19T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7120,1.950000048,44,7.03000021,NA,NA
4342,2007-01-20T11:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6910,2.00999999,45,8.100000381,NA,NA
4344,2007-01-21T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6720,1.99000001,44,8.399999619,NA,NA
4346,2007-01-22T10:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6740,1.950000048,46,8.5,NA,NA
4348,2007-01-23T09:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6610,1.850000024,41,6.300000191,NA,NA
4350,2007-01-24T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6550,2.140000105,46,8,NA,NA
4352,2007-01-25T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6460,2.069999933,46,6.389999866,NA,NA
4354,2007-01-26T08:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6180,1.940000057,46,6.480000019,NA,NA
4356,2007-01-27T10:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6380,2.049999952,47,4.75,NA,NA
4358,2007-01-28T09:30:00Z,Knights Landing RST,8.3,Continue trapping,No fish were caught,Trap functioning normally,Yes,6450,2.170000076,47,6.050000191,NA,NA
4360,2007-01-29T11:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6520,1.840000033,48,7.340000153,NA,NA
4362,2007-01-31T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6960,2,49,10.10999966,NA,NA
4364,2007-02-02T09:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7090,1.860000014,49,9.680000305,NA,NA
4366,2007-02-03T10:30:00Z,Knights Landing RST,8.3,Continue trapping,No fish were caught,Trap functioning normally,Yes,6920,2.109999895,49,8.31000042,NA,NA
4368,2007-02-05T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7030,1.960000038,49,8.390000343,NA,NA
4370,2007-02-07T12:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7100,1.600000024,52,10.69999981,NA,NA
4372,2007-02-08T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7270,1.909999967,52,11.39999962,NA,NA
4374,2007-02-10T12:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,10700,2.089999914,54,13.69999981,NA,NA
4376,2007-02-11T11:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,23800,2.210000038,54,21.39999962,NA,NA
4379,2007-02-12T12:00:00Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,26200,1.710000038,53,110,NA,NA
4381,2007-02-13T15:30:00Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,22400,2.339999914,57,93.69999695,NA,NA
4383,2007-02-14T11:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,18500,2.220000029,53,40.29999924,NA,NA
4385,2007-02-15T11:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,15600,2.210000038,53,26.5,NA,NA
4387,2007-02-16T09:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,13800,2.190000057,53,14.80000019,NA,NA
4389,2007-02-17T10:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,12700,1.970000029,54,27.10000038,NA,NA
4391,2007-02-18T10:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,12100,1.840000033,54,19.79999924,NA,NA
4393,2007-02-19T10:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,11600,2.00999999,54,17.39999962,NA,NA
4395,2007-02-20T10:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,11100,2.319999933,54,14.80000019,NA,NA
4397,2007-02-21T09:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,10700,2.180000067,54,10.22000027,NA,NA
4399,2007-02-22T09:15:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,10300,2.299999952,52,10.11999989,NA,NA
4401,2007-02-23T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,10700,2.24000001,52,11.69999981,NA,NA
4403,2007-02-24T11:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,15000,2.440000057,51,12,NA,NA
4405,2007-02-25T11:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,13000,2.349999905,50,21.10000038,NA,NA
